AcresBurned,AdminUnit,ArchiveYear,Counties,CrewsInvolved,Engines,Extinguished,Fatalities,Helicopters,Injuries,Latitude,Longitude,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,Updated,WaterTenders
339,CAL FIRE Tulare Unit,2017,Tulare,19,30,2018-01-09T10:28:00Z,,1,4,36.45809,-118.87676,435,2017-06-07T11:55:00Z,,,2018-01-09T10:28:00Z,3
225,CAL FIRE Madera-Mariposa-Merced Unit,2017,Mariposa,23,41,2018-01-09T11:17:00Z,,,,37.4591,-119.921,498,2017-07-02T13:36:00Z,1,0,2018-01-09T11:17:00Z,6
135,CAL FIRE Tulare Unit,2017,Tulare,10,20,2018-01-09T10:32:00Z,,1,2,35.8556,-118.74542,212,2017-06-13T17:00:00Z,,,2018-01-09T10:32:00Z,2
130,CAL FIRE San Diego Unit,2017,San Diego,10,20,2018-01-09T12:50:00Z,,2,,32.6001,-116.76997,220,2017-09-01T04:20:00Z,,,2018-01-09T12:50:00Z,7
114,CAL FIRE Sonoma-Lake-Napa Unit ,2017,Napa,1,5,2018-01-09T12:35:00Z,,,,38.49336,-122.2483,55,2017-08-11T12:57:00Z,,,2018-01-09T12:35:00Z,
74,CAL FIRE Amador-El Dorado Unit,2017,El Dorado,2,5,2018-01-09T11:50:00Z,,,,38.7803,-120.97111,,2017-07-08T16:38:00Z,,,2018-01-09T11:50:00Z,1
70,CAL FIRE Sonoma-Lake-Napa Unit,2017,Colusa,4,10,2018-01-09T11:58:00Z,,2,,39.01224,-122.20127,76,2017-07-17T13:17:00Z,,,2018-01-09T11:58:00Z,3
50,CAL FIRE San Mateo-Santa Cruz Unit ,2017,San Mateo,4,5,2018-01-09T13:20:00Z,,,,37.41591,-122.3001,85,2017-09-11T19:41:00Z,,,2018-01-09T13:20:00Z,
22,Sonoma-Lake Napa Unit,2017,Napa,4,6,2018-01-09T10:31:00Z,,,,38.68347,-122.2654,80,2017-06-13T10:18:00Z,,,2018-01-09T10:31:00Z,
17,CAL FIRE Shasta-Trinity Unit,2017,Shasta,1,2,2018-01-09T12:42:00Z,,,,40.92602,-121.5935,20,2017-08-17T14:15:00Z,,,2018-01-09T12:42:00Z,
229651,"Unified Command: CAL FIRE Shasta-Trinity Unit, US Forest Service and NPS Whiskeytown National Recreation Area",2018,Shasta,5,11,2019-01-04T09:37:00Z,3,,0,40.65428,-122.62357,456,2018-07-23T13:15:00Z,61,1614,2019-10-25T09:47:17.29Z,31
